peakNO,accession,mz,rt,stats,xref,candidate,exact_mass,theoretical_precursor,precursor_type,structure,Attn_w,nH2O_w,err,Sugar_n,Acid_n,cou,DDMP,fer,hex,hexA,mal,pen,sin,dhex,aglycone,ion1,ion2,ion3,ion4,ion5,glycosyl1,glycosyl2,glycosyl3,glycosyl4,glycosyl5,topMs2
99,,1027.513,0,44 candidates,,Stigmasterol,1028.520276,411.364306,[M-H]-,CCC(C=CC(C)C1CCC2C3CC=C4CC(CCC4(C)C3CCC12C)O)C(C)C,688.19095284,72.04225884,1.03603315245435,4,0,0,0,0,0,2,0,2,0,0,False,983.5228 [M-CO2-H]-,,,,,X-HexA-HexA-Pen-Pen,X-HexA-HexA-Pen-Pen,X-HexA-Pen-HexA-Pen,X-HexA-HexA-Pen-Pen,X-HexA-Pen-HexA-Pen,983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Gypsogenin,1028.520276,469.33339985,[M-H]-,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(C(C)(C=O)C5CCC34C)O)C2C1)C(=O)O,630.22185899,72.04225884,1.03604287529849,4,0,0,0,0,1,0,0,3,0,0,False,983.5228 [M-CO2-H]-,,,,,"X-Hex, -Pen-Pen-Pen","X-Hex, -Pen-Pen-Pen","X-Hex-Pen, -Pen-Pen","X-Hex, -Pen-Pen-Pen","X-Hex-Pen, -Pen-Pen",983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Glycyrrhetinic acid,1028.520276,469.33339985,[M-H]-,NA,630.22185899,72.04225884,1.05574111827989,4,0,0,0,0,1,0,0,3,0,0,False,983.5228 [M-CO2-H]-,,,,,,,,,,983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Bayogenin,1028.520276,487.34396457,[M-H]-,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CC(C(C(C)(CO)C5CCC34C)O)O)C2C1)C(=O)O,612.21129427,72.04225884,1.03604287529849,3,1,0,0,0,1,0,1,0,0,2,False,983.5228 [M-CO2-H]-,879.5189 [M-Mal-H2O-CO2-H]-,941.5154 [M-Mal-H]-,795.4629 [M-dHex-Mal-H]-,,"X-Hex, -dHex-dHex-Mal","X-Hex, -dHex-dHex-Mal","X-Hex-dHex, -dHex-Mal","X-Hex, -dHex-dHex-Mal","X-Hex-dHex, -dHex-Mal",983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Soyasapogenol B,1028.520276,457.36978536,[M-H]-,CC1(C)CC2C3=CCC4C5(C)CCC(C(C)(CO)C5CCC4(C)C3(C)CCC2(C)C(C1)O)O,642.18547348,72.04225884,1.03604287529849,3,1,0,0,0,1,1,1,0,0,1,True,983.5228 [M-CO2-H]-,879.5189 [M-Mal-H2O-CO2-H]-,941.5154 [M-Mal-H]-,795.4629 [M-dHex-Mal-H]-,457.375 *[Agly-H]-,"X-Hex, -HexA-dHex-Mal","X-Hex, -HexA-dHex-Mal","X-Hex-HexA, -dHex-Mal","X-Hex, -HexA-dHex-Mal","X-Hex-HexA, -dHex-Mal",983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Soyasapogenol B,1028.520276,457.36978536,[M-H]-,NA,642.18547348,72.04225884,1.05137561416366,3,1,0,0,0,1,1,1,0,0,1,True,983.5228 [M-CO2-H]-,879.5189 [M-Mal-H2O-CO2-H]-,941.5154 [M-Mal-H]-,795.4629 [M-dHex-Mal-H]-,457.375 *[Agly-H]-,,,,,,983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,"22-Methoxy-furost-5-en-3,26-diol",1028.520276,445.33339998,[M-H]-,NA,654.22185886,72.04225884,1.05586751371126,3,1,0,1,0,2,0,0,1,0,0,False,983.5228 [M-CO2-H]-,,,,,,,,,,983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,"Spirostan-3,6-diol",1028.520276,431.31774991,[M-H]-,NA,668.23750893,72.04225884,1.05579945446277,3,1,0,1,0,2,0,0,0,0,1,False,983.5228 [M-CO2-H]-,,,,,,,,,,983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,"Spirostan-3,17-diol",1028.520276,431.31774991,[M-H]-,NA,668.23750893,72.04225884,1.05579945446277,3,1,0,1,0,2,0,0,0,0,1,False,983.5228 [M-CO2-H]-,,,,,,,,,,983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,"Furost-5-en-3,22,26-triol",1028.520276,431.31774991,[M-H]-,NA,668.23750893,72.04225884,1.05579945446277,3,1,0,1,0,2,0,0,0,0,1,False,983.5228 [M-CO2-H]-,,,,,,,,,,983.5228; 984.5259; 985.5114
